symbol,n_days,corr,abs_corr,price_corr,hv_corr,lv_corr,roll_mean,roll_std,roll_recent,predictive,pred_pval,pred_beta,hv_delta
ZS,4138,0.41773201319327025,0.41773201319327025,0.8458230596180648,0.33177757650023026,0.5358136996937132,0.5012888321051847,0.2198368603703617,0.5624930634344337,False,0.916073474151061,0.001870744521018797,-0.2040361231934829
XK,4011,0.33071885003167845,0.33071885003167845,0.8490284518093886,0.3386660257033036,0.37186066313518523,0.4502219793028437,0.22923206667527016,0.5260306083741372,False,0.8424701629466328,0.0030530658456128174,-0.03319463743188161
CPO,3764,0.24727141493509028,0.24727141493509028,0.8608013884285909,0.21199789979448883,0.2982295165371921,0.27267871543571703,0.10783396141102788,0.16345438610200538,False,0.9726546063480801,-0.0006081997617182283,-0.08623161674270327
HO,4139,0.24541774923229848,0.24541774923229848,0.7456964166900629,0.20507401450375148,0.3153308006832147,0.28217740102592204,0.14071853343878482,0.4057289227761451,False,0.11111061932591615,0.022381678414060607,-0.11025678617946319
XC,4013,0.2416352276520602,0.2416352276520602,0.8399744428283515,0.19814386495189693,0.3061732294106519,0.2708171003322359,0.12973316958933084,0.20626658988492547,False,0.7610347453624393,0.0045359560908106835,-0.10802936445875497
ZW,4122,0.238976011071662,0.238976011071662,0.8127966676326118,0.2288446745914005,0.270475482116192,0.2537696046497126,0.15724685872182617,0.2021192283452506,False,0.8118357390339856,0.0033522211257184073,-0.04163080752479148
BZ,4036,0.2386805131767197,0.2386805131767197,0.6186467570390699,0.21672029995702033,0.29478524566837894,0.27037442892375846,0.1255021497181354,0.34174075508813107,False,0.5246645681717109,0.00850893206150277,-0.07806494571135861
ZC,4122,0.22869916599087772,0.22869916599087772,0.838465599580405,0.18182262524005602,0.29216299856296857,0.2739085787708163,0.14145582817594612,0.24087411198345376,False,0.7908663024650728,-0.003727256326881727,-0.11034037332291255
CL,4145,0.22466364120743507,0.22466364120743507,0.6510786857364772,0.20328679600039834,0.27996385507831756,0.27093373410518407,0.12589403023939505,0.3321271126046553,False,0.8127225514517458,0.002788102852626908,-0.07667705907791922
XW,4013,0.21545587357702065,0.21545587357702065,0.8144592212159373,0.2128764077786556,0.2396804321051883,0.23013330852581615,0.15197033891574732,0.17296609651019998,False,0.11376864559127456,0.022044741619154547,-0.0268040243265327
