table_schema,table_name
archive,cftc_cot_1w
archive,complete_daily_1d
archive,daily_ml_matrix_zl_1d
archive,daily_ml_matrix_zl_v15_1d
archive,eia_biofuels_1w
archive,epa_rin_prices_1d
archive,fred_economic_1d
archive,fred_macro_extended_1d
archive,intraday_volatility_1h
archive,staging_daily_returns_1d
archive,staging_fred_macro_clean_1d
archive,staging_market_daily_1d
archive,technical_indicators_1d
archive,usda_export_sales_1w
archive,usda_wasde_1m
archive,weather_noaa_1d
features,daily_matrix_1d
features,driver_factors_1d
features,driver_factors_1h
features,driver_scores_1d
features,driver_scores_1h
features,fred_wide_1d
features,neural_states_1d
features,shap_driver_1d
features,shap_raw_1d
features,volatility_1d
features,volatility_1h
forecasts,explanations_1d
forecasts,forecast_quantiles_1d
forecasts,predictions_1d
forecasts,probability_bands_1d
forecasts,probability_narratives_1d
forecasts,procurement_actions_1d
forecasts,risk_metrics_1d
forecasts,scenarios_1d
forecasts,value_timing_windows_1d
forecasts,zl_components_1d
forecasts,zl_forecasts_1d
forecasts,zl_predictions_1d
gold,driver_insights_1d
gold,forecast_summary_1d
gold,risk_analytics_1d
gold,specialist_performance_summary_1d
metadata,bucket_config_static
monitoring,data_quality_1d
monitoring,drift_1d
monitoring,model_performance_1d
monitoring,risk_analytics_1d
monitoring,run_telemetry_event
monitoring,vw_forecast_band_width_1d
raw,cftc_cot_1w
raw,eia_observations_1d
raw,epa_rin_prices_1d
raw,fred_observations_1d
raw,fx_spot_1d
raw,fx_spot_1h
raw,market_futures_1d
raw,market_futures_1h
raw,news_articles_event
raw,trade_flows_1d
raw,weather_observations_1d
raw,weather_observations_1h
specialist,climate_normals_static
specialist,drivers_static
specialist,exogenous_factors_static
specialist,market_calendar_static
specialist,neural_driver_ownership_static
specialist,region_weather_weights_static
specialist,symbols_static
specialist,unit_conversions_static
specialist,weather_locations_static
specialist,weather_stations_static
specialist,weather_variables_static
training,core_features_1d
training,core_matrix_full_1d
training,daily_ml_matrix_zl_v15_1d
training,dataset_snapshots_event
training,ensemble_weights_1d
training,labels_1d
training,matrix_1d
training,meta_ensemble_126d_1d
training,meta_ensemble_21d_1d
training,meta_ensemble_5d_1d
training,meta_ensemble_63d_1d
training,meta_inputs_1d
training,oof_core_zl_1d
training,oof_specialist_biofuel_1d
training,oof_specialist_china_1d
training,oof_specialist_combined_1d
training,oof_specialist_crush_1d
training,oof_specialist_energy_1d
training,oof_specialist_fed_1d
training,oof_specialist_fx_1d
training,oof_specialist_palm_1d
training,oof_specialist_substitutes_1d
training,oof_specialist_tariff_1d
training,oof_specialist_volatility_1d
training,oof_specialists_1d
training,specialist_biofuel_1d
training,specialist_china_1d
training,specialist_crush_1d
training,specialist_energy_1d
training,specialist_fed_1d
training,specialist_fx_1d
training,specialist_palm_1d
training,specialist_substitutes_1d
training,specialist_tariff_1d
training,specialist_volatility_1d
weather,argentina_north_1d
weather,argentina_pampas_1d
weather,brazil_cerrado_1d
weather,brazil_south_1d
weather,us_cornbelt_1d
